D;A;C;B
1;1907;1991;1920
2;2019;1917;1987
3;1981;1910;1900
4;1926;1960;2013
5;1975;1926;2012
6;1954;1988;1970
7;2009;2010;1942
8;1972;2020;1914
9;1951;1945;1933
10;1962;1952;1922
11;1987;1955;1911
12;1999;1960;1954
13;2013;1924;1991
14;1971;1997;1948
15;1970;1935;1916
16;1969;1941;1935
17;2021;2002;1992
18;1979;1989;1900
19;1911;1978;1941
20;1929;1998;1931
21;1907;1932;1989
22;1926;1911;2001
23;1976;1967;1993
24;1999;1924;1966
25;1965;1915;1960
26;2015;1983;1978
27;1977;2010;1930
28;2006;1903;1950
29;1990;1986;2005
30;1975;1927;1915
31;1976;1924;1917
32;2004;1918;2010
33;2001;1939;1991
34;1932;1978;2005
35;1977;2017;2021
36;1933;1923;1936
37;1931;1932;2009
38;1934;1956;1980
39;1966;1944;2006
40;1985;1985;1971
41;1913;2003;1929
42;1920;1987;1911
43;1929;2001;1946
44;1929;1924;1906
45;1953;2004;1989
46;1945;1985;2009
47;1967;1916;1948
48;1998;1975;2020
49;1902;1932;2018
50;1967;1964;1914
51;1996;1903;1914
52;1995;1922;1910
53;1958;1909;2013
54;1929;1913;1965
55;1931;2012;2009
56;1915;1923;2011
57;1910;1997;1998
58;1962;1941;1934
59;1906;1911;1907
60;1931;2005;1920
61;1926;1997;1928
62;1944;1941;2020
63;1949;1965;2014
64;1904;1956;2013
65;2005;1971;1906
66;1993;1969;2010
67;1973;2008;1977
68;1988;1946;1993
69;1981;1965;1910
70;2019;1904;1990
71;1938;1988;1964
72;1930;1909;1911
73;1939;1952;1953
74;1956;1933;1968
75;1979;1923;1926
76;1989;1917;1979
77;1915;1929;1922
78;1954;1976;1936
79;1972;1920;1986
80;2006;1941;1943
81;1917;1921;1977
82;1980;1991;1950
83;1998;1907;1922
84;1987;2010;1949
85;1975;1969;1915
86;1984;1931;1959
87;2018;1960;1944
88;1985;1910;1978
89;2005;1981;1947
90;1953;1916;1955
91;1973;1990;2014
92;2019;2019;1981
93;1913;2010;2016
94;1993;2013;1996
95;1959;1907;2007
96;1923;1939;1950
97;1937;1967;1952
98;1981;1980;1955
99;2019;1974;1968
100;1906;1987;2015
101;1932;1902;1900
102;1922;1929;1955
103;1992;1979;1942
104;2014;1968;1906
105;1914;1979;1932
106;2014;1998;1995
107;1977;1931;1917
108;1979;1921;1908
109;2001;1984;1977
110;1946;2016;1964
111;1950;1918;1921
112;2021;1908;2004
113;1967;1992;1936
114;1905;1964;1920
115;1932;1985;1921
116;1968;1907;1935
117;1993;2005;1944
118;1951;2000;2004
119;1931;1947;2004
120;1917;1904;1955
121;1914;1971;1967
122;1982;1988;1953
123;1977;1927;1970
124;1995;1988;1926
125;2020;1985;1956
126;1920;1963;1961
127;1968;1925;1913
128;1910;1920;1911
129;1929;1999;1964
130;1991;1904;1925
131;1994;1991;1996
132;2012;1948;1932
133;1991;1980;1969
134;1935;1929;2011
135;1920;1931;1964
136;1904;1924;1991
137;2005;1935;1983
138;1932;1951;1959
139;1902;1994;1965
140;2000;1919;1988
141;1917;1935;1914
142;2007;1984;1918
143;1939;1938;2008
144;1942;2011;2005
145;1916;1987;1902
146;1905;2004;1999
147;1947;2018;1943
148;1971;1952;1908
149;1912;1926;1984
150;1985;2010;2004
151;1993;1975;2010
152;1913;1917;1974
153;1993;1909;1925
154;1996;1992;1906
155;1958;1907;2009
156;1922;1969;1917
157;1992;2002;1948
158;1905;1951;1948
159;1901;1994;1901
160;2018;2000;1943
161;;1974;1977
162;;1972;2002
163;;1938;2006
164;;1925;2001
165;;2015;1957
166;;1914;2006
167;;1938;1979
168;;1993;1944
169;;1956;1928
170;;1942;1966
171;;2009;2003
172;;1929;1910
173;;1998;2008
174;;1918;1960
175;;1952;1913
176;;1978;2007
177;;1905;1920
178;;1927;2011
179;;1950;1958
180;;1909;1937
181;;2019;1905
182;;1915;1915
183;;1942;1911
184;;1990;1930
185;;1968;1966
186;;1928;1933
187;;1936;1989
188;;2000;
189;;1994;
190;;1934;
191;;1911;
192;;2016;
193;;1966;
194;;1966;
195;;1929;
196;;2013;
197;;1968;
198;;1975;
199;;1980;
200;;1940;
201;;1970;
202;;1995;
203;;1900;
204;;1972;
205;;1984;
206;;2012;
207;;2020;
208;;1949;
209;;1936;
210;;1959;
211;;2020;
212;;1964;
213;;1945;
214;;;
