Date;Summa
31.03.2019;9639
17.02.2019;9574
11.01.2019;9507
30.03.2019;9459
27.02.2019;9277
15.02.2019;9066
01.01.2019;8877
05.01.2019;8839
20.01.2019;8604
22.02.2019;8470
19.01.2019;8246
08.02.2019;8216
20.02.2019;8154
06.02.2019;7745
14.02.2019;7601
25.02.2019;6663
10.02.2019;5726
24.03.2019;5091
29.01.2019;4990
01.03.2019;4671
03.01.2019;4609
01.02.2019;4495
05.02.2019;4363
07.01.2019;4147
11.02.2019;4090
28.03.2019;3883
25.03.2019;3614
26.02.2019;3510
09.01.2019;3404
19.02.2019;3350
18.02.2019;2956
15.01.2019;2516
21.02.2019;2378
02.01.2019;2158
10.03.2019;2049
20.03.2019;1913
19.03.2019;1890
10.01.2019;1462
12.01.2019;1432
18.01.2019;671
16.02.2019;632
08.03.2019;514
04.01.2019;348
15.03.2019;227
